No;Brand;Phone Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
1;Huawei;Huawei Y7 (2019);https://www.gsmarena.com/huawei_y7_(2019)-9625.php;N/A;N/A;10W wired;Li-Ion 4000 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;158.9 x 76.9 x 8.1 mm (6.26 x 3.03 x 0.32 in);Nano-SIM + Nano-SIM;168 g (5.93 oz);4.2, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;720 x 1520 pixels, 19:9 ratio (~269 ppi density);6.26 inches, 97.8 cm2 (~80.0% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, proximity, compass;2019, March 07. Released 2019, March 07;Discontinued;"13 MP, f/1.8, PDAF
2 MP, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);32GB 3GB RAM, 64GB 4GB RAM;Aurora Blue, Midnight Black, Coral Red;DUB-LX1, DUB-LX3;About 180 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps;GSM / HSPA / LTE;Octa-core 1.8 GHz Cortex-A53;Qualcomm SDM450 Snapdragon 450 (14 nm);Adreno 506;Android 8.1 (Oreo), EMUI 8.2;N/A;HDR;8 MP;1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A
2;Huawei;Huawei nova 5T;https://www.gsmarena.com/huawei_nova_5t-9803.php;N/A;N/A;22.5W wired, 50% in 24 min;Li-Po 3750 mAh, non-removable;N/A;Glass front, glass back, aluminum frame;154.3 x 74 x 7.8 mm (6.07 x 2.91 x 0.31 in);Nano-SIM + Nano-SIM;174 g (6.14 oz);5.0, A2DP, aptX HD, LE;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density);6.26 inches, 96.2 cm2 (~84.2% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2019, August 27. Released 2019, September 05;Discontinued;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, 28mm (wide), 1/2.0"", 0.8µm, PDAF
16 MP, f/2.2, 13mm (ultrawide), 1/3.1""
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;"4K@30fps, 1080p@30/60fps; gyro-EIS";UFS 2.1;No;128GB 6GB RAM, 128GB 8GB RAM;Black, Crush Blue, Midsummer Purple, Crush Green;YAL-L21, YAL-L61, YAL-L71, YAL-L61D;About 340 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55);Kirin 980 (7 nm);Mali-G76 MP10;Android 9.0 (Pie), upgradable to Android 10, EMUI 10;N/A;HDR;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm";1080p@30fps, gyro-EIS;32-bit/192kHz audio;No;Yes;N/A;N/A;N/A;N/A;N/A;"AnTuTu: 313024 (v7), 395503 (v8)
GeekBench: 10013 (v4.4), 2504 (v5.1)
GFXBench: 29fps (ES 3.1 onscreen)"
3;Huawei;Huawei P30;https://www.gsmarena.com/huawei_p30-9530.php;N/A;N/A;22.5W wired;Li-Po 3650 mAh, non-removable;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front (Aluminosilicate glass), glass back (Aluminosilicate glass), aluminum frame;149.1 x 71.4 x 7.6 mm (5.87 x 2.81 x 0.30 in);Nano-SIMNano-SIM + Nano-SIM;165 g (5.82 oz);5.0, A2DP, aptX HD, LE;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density);6.1 inches, 91.3 cm2 (~85.8% screen-to-body ratio);OLED, HDR10;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2019, March 26. Released 2019, March 26;Discontinued;N/A;Laser AF, color spectrum sensor, Leica optics, dual-LED dual-tone flash, panorama, HDR;N/A;N/A;"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF
8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom
16 MP, f/2.2, 17mm (ultrawide), PDAF";4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps;UFS 2.1;Nano Memory (uses shared SIM slot);64GB 8GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White;ELE-L29, ELE-L09, ELE-AL00, ELE-TL00, ELE-L04;About 280 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40;N/A;HSPA 42.2/5.76 Mbps, LTE Cat21 1400/200 Mbps;GSM / HSPA / LTE;Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55);Kirin 980 (7 nm);Mali-G76 MP10;Android 9.0 (Pie), upgradable to Android 10, EMUI 10;N/A;HDR;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm";1080p@30fps;32-bit/384kHz audio;Yes;Yes;Noise -96.2dB / Crosstalk -97.5dB;Endurance rating 83h;Photo / Video;635 nits max brightness (measured);Voice 83dB / Noise 75dB / Ring 83dB;"AnTuTu: 314595 (v7)
GeekBench: 10114 (v4.4)
GFXBench: 28fps (ES 3.1 onscreen)"
4;Huawei;Huawei nova 3i;https://www.gsmarena.com/huawei_nova_3i-9632.php;N/A;N/A;10W wired;Li-Ion 3340 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;157.6 x 75.2 x 7.6 mm (6.20 x 2.96 x 0.30 in);Nano-SIM + Nano-SIM;169 g (5.96 oz);4.2, A2DP, LE, EDR, aptX HD;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density);6.3 inches, 97.4 cm2 (~82.2% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2018, July 18. Released 2018, July 27;Discontinued;"16 MP, f/2.2, PDAF
2 MP, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Black, Pearl White, Iris Purple;INE-LX1, INE-LX1r, INE-LX1, Sydney 6353, INE-LX2r, INE-AL00, INE-TL00;About 220 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 28, 38, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps;GSM / HSPA / LTE;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710 (12 nm);Mali-G51 MP4;Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), EMUI 9.0;"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm
2 MP, depth sensor";HDR;N/A;1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A
5;Huawei;Huawei Nova Y73;https://www.gsmarena.com/huawei_nova_y73_4g-13827.php;N/A;N/A;"40W wired
5W reverse wired";Si/C Li-Ion 6620 mAh;"IP64 dust tight and water resistant (water splashes)
Drop resistant up to 1.8m";N/A;166.1 x 76.6 x 8.3 mm (6.54 x 3.02 x 0.33 in);Nano-SIM + Nano-SIM;203 g (7.16 oz);5.1, A2DP, LE;Yes;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 b/g/n;N/A;720 x 1604 pixels, 20:9 ratio (~264 ppi density);6.67 inches, 107.2 cm2 (~84.3% screen-to-body ratio);IPS LCD, 90Hz, 1000 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, May 28;Available. Released 2025, June 03;N/A;LED flash, HDR, panorama;N/A;50 MP, f/1.8, (wide), PDAF;N/A;1080p@30fps;N/A;No;128GB 8GB RAM, 256GB 8GB RAM;Blue, Black;MGA-LX3;About 180 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 13, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710A (14 nm);Mali-G51 MP4;Android 12, EMUI 12;N/A;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A
6;Huawei;Huawei P40 Pro;https://www.gsmarena.com/huawei_p40_pro-10152.php;N/A;N/A;"40W wired
27W wireless
27W reverse wireless";Li-Po 4200 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front, glass back, aluminum frame;158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;209 g (7.37 oz);5.1, A2DP, LE;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1200 x 2640 pixels (~441 ppi density);6.58 inches, 105.2 cm2 (~91.6% screen-to-body ratio);OLED, 90Hz, HDR10;N/A;Infrared Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2020, March 26;Available. Released 2020, April 07;N/A;Leica optics, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, OIS
12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom
40 MP, f/1.8, 18mm (ultrawide), 1/1.54"", PDAF
TOF 3D, (depth)";"4K@30/60fps, 1080p@30/60fps, 720@7680fps, 1080p@960fps, HDR; gyro-EIS";UFS 3.0;Nano Memory (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black;ELS-NX9, ELS-N04, ELS-AN00, ELS-TN00;$ 379.99 / € 325.65 / £ 299.00;1, 3, 5, 28, 38, 41, 66, 77, 78, 79 SA/NSA - ELS-N04;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41 - ELS-NX9;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - ELS-NX9;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55);Kirin 990 5G (7 nm+);Mali-G76 MP16;Android 10, EMUI 12, no Google Play Services;N/A;HDR;"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm, AF
IR TOF 3D, (depth/biometrics sensor)";4K@30/60fps, 1080p@30/60fps;32-bit/384kHz audio;No;Yes;N/A;Endurance rating 94h;Photo / Video;Contrast ratio: Infinite (nominal);-27.5 LUFS (Good);"AnTuTu: 496356 (v8)
GeekBench: 12848 (v4.4), 3197 (v5.1)
GFXBench: 31fps (ES 3.1 onscreen)"
7;Huawei;Huawei Y9 (2019);https://www.gsmarena.com/huawei_y9_(2019)-9324.php;N/A;N/A;10W wired;Li-Ion 4000 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in);Nano-SIMNano-SIM + Nano-SIM;173 g (6.10 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0;Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density);6.5 inches, 103.7 cm2 (~82.8% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2018, October 01. Released 2018, October 01;Discontinued;"13 MP, f/1.8, PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Midnight Black, Sapphire Blue, Aurora Purple;JKM-LX1, JKM-LX2, JKM-LX3, JKM-AL00, JKM-TL00, JKM-AL00a, JKM-AL00b;About 180 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710 (12 nm);Mali-G51 MP4;Android 8.1 (Oreo), EMUI 8.2;"16 MP, f/2.0
2 MP, f/2.4, depth sensor";HDR;N/A;1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A
8;Huawei;Huawei nova 7 5G;https://www.gsmarena.com/huawei_nova_7_5g-10204.php;N/A;N/A;"40W wired, 75% in 30 min
5W reverse wired";Li-Po 4000 mAh;N/A;N/A;160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in);Nano-SIMNano-SIM + Nano-SIM;180 g (6.35 oz);5.1, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2400 pixels, 20:9 ratio (~403 ppi density);6.53 inches, 102.9 cm2 (~86.3% screen-to-body ratio);OLED;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2020, April 23;Available. Released 2020, April 28;N/A;LED flash, Panorama, HDR;"64 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom
8 MP, f/2.4, 17mm (ultrawide)
2 MP, f/2.4, (macro)";N/A;N/A;4K, 1080p, 720p@960fps, gyro-EIS;UFS 3.0;No;128GB 8GB RAM, 256GB 8GB RAM;Black, Space Silver, Midsummer Purple, Red, Green;JEF-TN00, JEF-AN00, JEF-NX9, JEF-AN20;About 390 EUR;1, 3, 41, 77, 78, 79 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 20, 26, 28, 38, 40, 41, 66 - International;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55);Kirin 985 5G (7 nm);Mali-G77 (8-core);Android 10, EMUI 10.1, no Google Play Services;N/A;HDR;"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm";4K;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A
9;Huawei;Huawei Y9 Prime (2019);https://www.gsmarena.com/huawei_y9_prime_(2019)-9742.php;N/A;N/A;N/A;Li-Po 4000 mAh, non-removable;N/A;Glass front, plastic back;163.5 x 77.3 x 8.9 mm (6.44 x 3.04 x 0.35 in);Nano-SIMNano-SIM + Nano-SIM;196.8 g (6.95 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density);6.59 inches, 106.6 cm2 (~84.3% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, August 01. Released 2019, August 05;Discontinued;N/A;LED flash, HDR, panorama;N/A;N/A;"16 MP, f/1.8, (wide), PDAF
8 MP, f/2.4, 13mm (ultrawide)
2 MP, f/2.4, (depth)";1080p@30fps;eMMC;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;Emerald Green, Midnight Black, Sapphire Blue;STK-L21, STK-L22, STK-LX3;About 220 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps;GSM / HSPA / LTE;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710F (12 nm);Mali-G51 MP4;Android 9.0 (Pie), upgradable to Android 10, Magic UI 2.1;N/A;N/A;Motorized pop-up 16 MP, f/2.0;1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A
10;Huawei;Huawei nova 9 SE;https://www.gsmarena.com/huawei_nova_9_se-11399.php;N/A;N/A;66W wired, 75% in 20 min;Li-Po 4000 mAh;N/A;N/A;164.6 x 75.6 x 7.9 mm (6.48 x 2.98 x 0.31 in);Nano-SIM + Nano-SIM;191 g (6.74 oz);5.0, A2DP, LE;N/A;Yes (JLN-XL1 only);GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2388 pixels (~387 ppi density);6.78 inches, 111.4 cm2 (~89.5% screen-to-body ratio);IPS LCD, 90Hz;Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, gyro, compass;2022, March 08;Available. Released 2022, March 20;N/A;LED flash, HDR, panorama;"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF
8 MP, f/2.2, 112˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;1080p@30fps, gyro-EIS;N/A;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;Midnight Black, Pearl White, Crystal Blue;JLN-LX1, JLN-LX3, JuliaQN-L01B, JuliaQN-L21B, JuliaQN-L23A, RMX2190, FIO-BD00, JLN-AL00;$ 585.00 / € 179.25;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 41, 66 - JLN-LX3;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100 - JLN-LX1;1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - JLN-LX1;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver);Qualcomm SM6225 Snapdragon 680 4G (6 nm);Adreno 610;Android 11, EMUI 12, no Google Play Services;N/A;N/A;16 MP, f/2.2, 22mm (wide);1080p@30fps;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A
